Actions: [(5,), (6,), (1,), (2,), (4,), (3,), (5, 6), (5, 1), (5, 2), (5, 4), (5, 3), (6, 1), (6, 2), (6, 4), (6, 3), (1, 2), (1, 4), (1, 3), (2, 4), (2, 3), (4, 3)]
Episode 0 of 40000
         2505781 function calls (2451342 primitive calls) in 20.422 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   877/15    0.002    0.000    1.554    0.104 <frozen importlib._bootstrap_external>:877(exec_module)
     2630    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
 1001/999    0.002    0.000    0.292    0.000 <frozen importlib._bootstrap>:564(module_from_spec)
    12393    0.002    0.000    0.002    0.000 {built-in method builtins.id}
        5    0.002    0.000    0.002    0.000 {built-in method _ctypes.dlopen}
       57    0.002    0.000    0.002    0.000 {method 'findall' of 're.Pattern' objects}
  629/285    0.002    0.000    0.045    0.000 sre_parse.py:436(_parse_sub)
     3975    0.002    0.000    0.019    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
     2674    0.002    0.000    0.003    0.000 cbook.py:405(_strip_comment)
      168    0.002    0.000    0.003    0.000 {built-in method io.open}
      904    0.002    0.000    0.020    0.000 _tensor.py:600(__rsub__)
      278    0.002    0.000    0.011    0.000 overrides.py:83(verify_matching_signatures)
     2743    0.002    0.000    0.002    0.000 {method 'match' of 're.Pattern' objects}
      904    0.002    0.000    0.023    0.000 _tensor.py:26(wrapped)
   407/37    0.002    0.000    0.004    0.000 module.py:1294(state_dict)
      336    0.002    0.000    0.025    0.000 typing.py:483(Union)
      877    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:585(_classify_pyc)
     3716    0.002    0.000    0.002    0.000 {built-in method time.time}
     6254    0.002    0.000    0.002    0.000 {method 'endswith' of 'str' objects}
     2190    0.002    0.000    0.005    0.000 {built-in method _abc._abc_instancecheck}
   552/40    0.002    0.000    1.276    0.032 {built-in method builtins.__import__}
       40    0.002    0.000    0.019    0.000 subprocess.py:1703(_execute_child)
     4098    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:897(__exit__)
     4078    0.002    0.000    0.002    0.000 sre_parse.py:173(append)
      605    0.002    0.000    0.007    0.000 _inspect.py:96(getargspec)
     1876    0.002    0.000    0.002    0.000 {method 'size' of 'torch._C._TensorBase' objects}
      195    0.002    0.000    0.002    0.000 colors.py:1110(<listcomp>)
    11152    0.002    0.000    0.002    0.000 {built-in method _operator.index}
     6808    0.002    0.000    0.002    0.000 enum.py:678(__new__)
     1037    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:198(cb)
     3885    0.002    0.000    0.002    0.000 multiarray.py:153(concatenate)
     2274    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:404(parent)
     4098    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:893(__enter__)
      905    0.002    0.000    0.003    0.000 lr_scheduler.py:572(get_lr)
      978    0.002    0.000    0.013    0.000 <frozen importlib._bootstrap_external>:510(_get_cached)
        1    0.002    0.002    0.002    0.002 {built-in method torch._C._c10d_init}
      803    0.002    0.000    0.003    0.000 inspect.py:612(unwrap)
      908    0.002    0.000    0.002    0.000 {built-in method math.log}
      285    0.002    0.000    0.076    0.000 sre_compile.py:783(compile)
      800    0.002    0.000    0.002    0.000 __init__.py:391(__getitem__)
      285    0.002    0.000    0.006    0.000 sre_compile.py:560(_compile_info)
     8402    0.002    0.000    0.002    0.000 {built-in method _imp.acquire_lock}
     1037    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:71(__init__)
      317    0.002    0.000    0.006    0.000 function_base.py:497(add_newdoc)
     3826    0.002    0.000    0.002    0.000 {method 'random' of '_random.Random' objects}
     1097    0.002    0.000    0.002    0.000 enum.py:470(__setattr__)
     8402    0.002    0.000    0.002    0.000 {built-in method _imp.release_lock}
     3713    0.002    0.000    0.002    0.000 lr_scheduler.py:96(get_last_lr)
     9238    0.001    0.000    0.001    0.000 {method 'pop' of 'list' objects}
     1855    0.001    0.000    0.014    0.000 <frozen importlib._bootstrap>:391(cached)
        6    0.001    0.000    0.002    0.000 _builtins.py:134(register_all)
      978    0.001    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:1531(_get_spec)
      336    0.001    0.000    0.004    0.000 typing.py:267(_remove_dups_flatten)
     3510    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
     1597    0.001    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
     3491    0.001    0.000    0.001    0.000 {built-in method builtins.iter}
      800    0.001    0.000    0.004    0.000 __init__.py:384(__getattr__)
      905    0.001    0.000    0.001    0.000 lr_scheduler.py:139(_enable_get_lr_call)
      904    0.001    0.000    0.001    0.000 lr_scheduler.py:579(<listcomp>)
      407    0.001    0.000    0.002    0.000 module.py:1257(_save_to_state_dict)
     6176    0.001    0.000    0.001    0.000 {method 'group' of 're.Match' objects}
      694    0.001    0.000    0.002    0.000 inspect.py:66(get_annotations)
      877    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:618(_validate_timestamp_pyc)
     6577    0.001    0.000    0.001    0.000 {method '__exit__' of '_thread.lock' objects}
     3781    0.001    0.000    0.001    0.000 {method 'append' of 'collections.deque' objects}
     1049    0.001    0.000    0.011    0.000 <frozen importlib._bootstrap>:169(__enter__)
        1    0.001    0.001    0.001    0.001 {built-in method torch._C._autograd_init}
       26    0.001    0.000    0.015    0.001 inspect.py:1101(getblock)
   407/37    0.001    0.000    0.017    0.000 module.py:1475(load)
     4636    0.001    0.000    0.001    0.000 {built-in method torch._C._set_grad_enabled}
     1512    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:1356(_path_importer_cache)
       55    0.001    0.000    0.005    0.000 _tensor_str.py:85(__init__)
    75/27    0.001    0.000    0.008    0.000 typing.py:1046(__getitem__)
2051/1881    0.001    0.000    0.002    0.000 {method 'update' of 'dict' objects}
      836    0.001    0.000    0.009    0.000 typing.py:947(__init__)
      916    0.001    0.000    0.002    0.000 _VF.py:25(__getattr__)
     2011    0.001    0.000    0.002    0.000 os.py:805(fsencode)
     1022    0.001    0.000    0.067    0.000 <frozen importlib._bootstrap_external>:1431(find_spec)
     6553    0.001    0.000    0.001    0.000 {built-in method _thread.get_ident}
     1045    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:357(__init__)
        4    0.001    0.000    0.001    0.000 numeric.py:274(full)
     7727    0.001    0.000    0.001    0.000 {method 'isidentifier' of 'str' objects}
